,lcogs1_access,lcogs1_access,lcogs1_access,lcogs1_access,lcogs2_sao_density,lcogs2_sao_density,lcogs2_sao_density,lcogs2_sao_density,lcogs3_surg_volume_100k,lcogs3_surg_volume_100k,lcogs3_surg_volume_100k,lcogs3_surg_volume_100k,lcogs4_pomr,lcogs4_pomr,lcogs4_pomr,lcogs4_pomr,lcogs5_financial_burden,lcogs5_financial_burden,lcogs5_financial_burden,lcogs5_financial_burden,cuds_score,cuds_score,cuds_score,cuds_score,population,population,population,population
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
regiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro-Oeste,0.8736616702355461,1.0,0.33258655507672774,467,228.4451293103448,200.0,130.12362939520662,464,407.73724789136827,384.77401070197334,353.1092381733911,466,3.5455449062585425,2.941176470588235,3.464274637469825,312,0.03139434459749283,0.020928930520024334,0.036073627937392716,466,0.41531797294656314,0.425968403450821,0.12404494964496582,467,36662.44325481799,9614.0,177175.95351146825,467
Nordeste,0.9955406911928651,1.0,0.0666475757039026,1794,130.4165263748597,108.6,95.14831250526035,1782,368.860636813209,393.05788652698953,278.9045026736817,1794,3.9410983270526168,3.571428571428571,3.328576732700368,1327,0.11320068398859522,0.07932529824323561,0.21105739338563947,1794,0.298728498545998,0.2934382120172233,0.10479581391076148,1794,32475.614827201785,14735.0,121941.82268607264,1794
Norte,0.8666666666666667,1.0,0.3403129700652841,450,114.92587973273942,87.13,95.84884024837608,449,404.1963158851769,412.80311360727796,281.40526860761213,450,2.6350686561180665,1.9807640570352434,2.9684449586289308,358,0.07117446886307012,0.03730807508713078,0.27298635591633613,450,0.24505717385462214,0.24703631526517902,0.1441082169143775,450,43077.50444444444,17235.0,143990.22735760754,450
Sudeste,0.9862110311750599,1.0,0.11664900699127023,1668,278.2219047619048,227.75,187.69916749296442,1659,496.66845454134216,523.4765122642652,300.2442861303462,1668,5.18994115129612,4.761904761904762,3.9401089074206213,1333,0.06297462314251301,0.04758714655303917,0.0876899910356672,1666,0.4965699165136838,0.496299739206465,0.12900764661016165,1668,54488.14268585132,11623.0,368481.9143001653,1668
Sul,0.8942065491183879,1.0,0.3077022805181408,1191,295.75573839662445,238.47,262.27756055482564,1185,706.0724547482134,677.3920406435224,377.13134250358223,1191,4.179539007344126,3.8605909222637766,3.413650948172752,1066,0.038375013184279105,0.030938394863160457,0.02955089207180988,1191,0.5274456614342161,0.5328740076600188,0.10580724560704514,1191,25885.238455079765,7176.0,89811.61532314835,1191
