outcome,dimension,coef,se,pvalue,r2_adj,n
lcogs_composite,cuds_economy,-0.012924680245593819,0.006108468512909769,0.03435649265164304,0.2216760879424029,47530
lcogs_composite,cuds_technology,-0.12984418461604827,0.041356602001480086,0.0016916474290466661,0.2216760879424029,47530
lcogs_composite,cuds_human_capital,0.11501785016792167,0.012690900544174663,1.2689099311563335e-19,0.2216760879424029,47530
lcogs_composite,cuds_social_cohesion,-0.03214747758962568,0.014894801323835522,0.030904369235167074,0.2216760879424029,47530
lcogs_composite,cuds_urban_planning,-0.1298441846160486,0.041356602001480086,0.0016916474290466189,0.2216760879424029,47530
lcogs_composite,cuds_health_infrastructure,0.29554015367990766,0.007606010958186201,0.0,0.2216760879424029,47530
lcogs_composite,cuds_governance,0.058993629550538294,0.0044461066017431276,3.5207674980275916e-40,0.2216760879424029,47530
lcogs_composite,cuds_environment,-0.029765410982116224,0.0032936437184377236,1.606941816256523e-19,0.2216760879424029,47530
lcogs_composite,cuds_mobility,0.1414228608265858,0.006538756218010115,9.708440871954834e-104,0.2216760879424029,47530
lcogs2_sao_density,cuds_economy,3.9533094051197537,3.3775952571077954,0.2418195627349481,0.44175352599840234,47138
lcogs2_sao_density,cuds_technology,-224.68492643733524,43.80226299788593,2.904698503055837e-07,0.44175352599840234,47138
lcogs2_sao_density,cuds_human_capital,-70.77335950997204,8.218089610743629,7.186000431255934e-18,0.44175352599840234,47138
lcogs2_sao_density,cuds_social_cohesion,209.8431850624263,9.658527189519129,1.1599097627151689e-104,0.44175352599840234,47138
lcogs2_sao_density,cuds_urban_planning,-224.6849264373348,43.80226299788592,2.904698503055959e-07,0.44175352599840234,47138
lcogs2_sao_density,cuds_health_infrastructure,449.8711004239776,5.889240462131259,0.0,0.44175352599840234,47138
lcogs2_sao_density,cuds_governance,54.73585031231075,2.3320594926095604,8.062876656933631e-122,0.44175352599840234,47138
lcogs2_sao_density,cuds_environment,12.56349289251714,1.76284276384195,1.0270165204958192e-12,0.44175352599840234,47138
lcogs2_sao_density,cuds_mobility,59.15795212289614,3.7550270005886137,6.413071835923136e-56,0.44175352599840234,47138
lcogs3_surg_volume_100k,cuds_economy,-32.577251179500124,9.557360813589948,0.0006529636873350692,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_technology,-345.04922714156965,45.666265649447915,4.1600901816969417e-14,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_human_capital,193.31068862262194,20.607214742696204,6.551839579285235e-21,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_social_cohesion,-244.6338920655724,24.90579125736033,9.019779413603303e-23,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_urban_planning,-345.049227141571,45.66626564944821,4.160090181697587e-14,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_health_infrastructure,55.6619250845685,10.938742197337232,3.608832279080659e-07,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_governance,41.00430943959949,7.083854462158411,7.105249341307617e-09,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_environment,-39.13180164520789,5.529858320306162,1.4788718680479036e-12,0.1875334120809118,47518
lcogs3_surg_volume_100k,cuds_mobility,402.35362995639554,10.851206942002015,6.089197078742516e-301,0.1875334120809118,47518
lcogs4_pomr,cuds_economy,-1.122540856003083,0.1461790055951055,1.600591888836191e-14,0.028661968504286373,34865
lcogs4_pomr,cuds_technology,-1.0923245951504834,0.6170188977882738,0.07667284979995312,0.028661968504286373,34865
lcogs4_pomr,cuds_human_capital,-2.26252920567239,0.33317911531932465,1.115680377680186e-11,0.028661968504286373,34865
lcogs4_pomr,cuds_social_cohesion,5.080585854129418,0.3896987925445128,7.515512335248058e-39,0.028661968504286373,34865
lcogs4_pomr,cuds_urban_planning,-1.0923245951504739,0.6170188977882707,0.07667284979995422,0.028661968504286373,34865
lcogs4_pomr,cuds_health_infrastructure,0.5465504135825738,0.1741778823219039,0.001701707970015916,0.028661968504286373,34865
lcogs4_pomr,cuds_governance,-0.3487409522420163,0.11399250379840609,0.002218309218675848,0.028661968504286373,34865
lcogs4_pomr,cuds_environment,-0.0017863353439495615,0.08470732280659493,0.9831752000965126,0.028661968504286373,34865
lcogs4_pomr,cuds_mobility,-0.4317619962896483,0.16111085960650043,0.007364278655357254,0.028661968504286373,34865
