cuds_bin_midpoint,mean_outcome,se_outcome,n_obs,ci_lower,ci_upper,poly_predicted
0.03524085212379244,6.777711265823394,0.23591043210517101,1950,6.315326818897258,7.240095712749529,10.418127054439807
0.045981506221130494,9.487182899717057,0.32483729323516486,1949,8.850501804976133,10.123863994457981,11.169115493010292
0.053881541967653906,11.598262107275831,0.41483366962161833,1950,10.785188114817458,12.411336099734203,12.257760967240475
0.06081625087799818,13.359159303667887,0.6029144802093725,1949,12.177446922457516,14.540871684878258,13.5615712227649
0.06758308031207486,17.423244709086433,0.7022821422230758,1950,16.046771710329203,18.799717707843662,15.127496557682774
0.07406422885295608,21.88208104554552,0.9444239819519774,1949,20.031010040919643,23.733152050171395,16.881865156460954
0.08038843927398329,21.651349941763666,1.0027298720462732,1950,19.685999392552972,23.61670049097436,18.817913847719637
0.08681419949183408,23.995922307560303,0.9133690817971932,1949,22.205718907237802,25.786125707882803,20.995991696291156
0.09368623222676387,23.486682072492727,0.6594424833354561,1950,22.19417480515523,24.77918933983022,23.542602082774664
0.1008237310210234,28.045901757599886,0.8730701473567816,1949,26.334684268780595,29.757119246419176,26.40478676565266
0.10885604189741309,31.46506651871325,0.9905890174949488,1949,29.52351204442315,33.40662099300335,29.863478049047586
0.11762972632029733,34.54983116353108,0.9438405910790325,1950,32.699903605016175,36.39975872204599,33.89354276975163
0.12688369911659403,36.28567633077306,0.8974112965845104,1949,34.526750189467414,38.0446024720787,38.38580382416333
0.13656250262711656,40.66179760186034,0.9076286715132492,1950,38.882845405694376,42.44074979802631,43.29863069853921
0.14643603272941275,43.61099751859225,0.9584531756969691,1949,41.73242929422619,45.489565742958305,48.480213050418065
0.15592188314890013,46.34180972145594,0.9667871117156753,1950,44.44690698249322,48.23671246041866,53.56638390555607
0.16585531366749567,55.41382755605369,1.1454047016090776,1949,53.1688343408999,57.65882077120748,58.94924208063094
0.17676772726368495,63.55877675871369,1.1809267377037511,1950,61.24416035281434,65.87339316461305,64.86012843439009
0.19039331577185814,77.40921150972726,1.4339216069803373,1949,74.5987251600458,80.21969785940871,72.12118340879846
0.22625721178194258,92.16665711134348,1.9266539799681213,1950,88.39041531060596,95.942898912081,89.52139895661072
