cuds_bin_midpoint,mean_outcome,se_outcome,n_obs,ci_lower,ci_upper,poly_predicted
0.03574841446562594,0.011764705882352941,0.003245160496278651,1105,0.005404191309646786,0.018125220455059095,0.009086502673772597
0.04736677358233195,0.010869565217391304,0.003122087802712771,1104,0.004750273124074273,0.016988857310708337,0.010196299916466218
0.05564661240636429,0.01358695652173913,0.0034858022010410836,1104,0.006754784207698606,0.020419128835779655,0.01085179069737161
0.06350913525055876,0.009963768115942028,0.002990539850183205,1104,0.004102310009582946,0.01582522622230111,0.01137385267556075
0.07129856447743563,0.008152173913043478,0.002707518823739192,1104,0.0028454370185146613,0.013458910807572295,0.011797872469595835
0.07844542180559402,0.009963768115942028,0.0029905398501832068,1104,0.004102310009582943,0.015825226222301113,0.012108030360760982
0.08548649377450143,0.007246376811594203,0.002553838565490074,1104,0.0022408532232336574,0.01225190039995475,0.012342219050637798
0.0927577577970171,0.014492753623188406,0.0035984677049764966,1104,0.007439756921434473,0.02154575032494234,0.012512191315491288
0.10047789939381507,0.01177536231884058,0.003248083773061803,1104,0.005409118123639446,0.018141606514041713,0.012615564293656976
0.10919949683590251,0.01177536231884058,0.0032480837730618026,1104,0.005409118123639447,0.018141606514041713,0.012640613085822521
0.11890496939265036,0.009057971014492754,0.0028526719474705085,1104,0.0034667339974505575,0.01464920803153495,0.012559283730679108
0.12900421926974898,0.012681159420289856,0.0033691507004692442,1104,0.0060776240473701375,0.019284694793209572,0.01235887471689916
0.13902321723558853,0.018115942028985508,0.004015806786477317,1104,0.010244960727489967,0.025986923330481047,0.01205007059893437
0.148878069637245,0.012681159420289856,0.003369150700469245,1104,0.006077624047370136,0.019284694793209576,0.011645987944339051
0.15813866532636836,0.016304347826086956,0.00381324171692631,1104,0.008830394060911389,0.023778301591262523,0.011181322670034565
0.16694007187743115,0.01358695652173913,0.0034858022010410823,1104,0.006754784207698609,0.020419128835779652,0.010668349767948167
0.17589236299476302,0.012681159420289856,0.0033691507004692442,1104,0.0060776240473701375,0.019284694793209572,0.010080028915164761
0.18569269282876807,0.008152173913043478,0.0027075188237391905,1104,0.0028454370185146648,0.013458910807572291,0.00936465533578264
0.19825782334945838,0.002717391304347826,0.0015674635743704328,1104,-0.0003548373014182222,0.005789619910113874,0.008348201136134856
0.23612772535617968,0.002717391304347826,0.001567463574370433,1104,-0.0003548373014182226,0.005789619910113874,0.004738122719784299
