cuds_bin_midpoint,mean_outcome,se_outcome,n_obs,ci_lower,ci_upper,poly_predicted
0.03574841446562594,0.05394915681339241,0.0005106479949933122,1105,0.052948286743205515,0.0549500268835793,0.05128843338254726
0.04736677358233195,0.04907223089676974,0.0006447830584512458,1104,0.0478084561022053,0.05033600569133419,0.04785795355707777
0.05564661240636429,0.04404214522317831,0.0006868823848732512,1104,0.042695855748826735,0.04538843469752988,0.045599765678161104
0.06350913525055876,0.04090928115630474,0.000620618931508088,1104,0.039692868050548884,0.042125694262060594,0.043592014027801745
0.07129856447743563,0.03940076573653983,0.0006854920014436395,1104,0.0380572014137103,0.040744330059369366,0.04172829524049917
0.07844542180559402,0.039558402537754174,0.0006510884887158055,1104,0.038282269099871195,0.04083453597563715,0.04012318991567155
0.08548649377450143,0.03994795756994285,0.0010143738294777914,1104,0.03795978486416638,0.04193613027571932,0.038635566883805095
0.0927577577970171,0.03849130564810228,0.00074015479041697,1104,0.037040602258885016,0.03994200903731954,0.03719245310923194
0.10047789939381507,0.036299386001057594,0.000652823068934439,1104,0.0350198527859461,0.03757891921616909,0.035758707132305736
0.10919949683590251,0.034244356968136415,0.0006844258563781755,1104,0.03290288228963519,0.03558583164663764,0.03425412237618969
0.11890496939265036,0.03153588263492221,0.000602797747061817,1104,0.030354399050681054,0.03271736621916337,0.03271400708646764
0.12900421926974898,0.03022016597990787,0.0006192433017040189,1104,0.029006449108567995,0.03143388285124775,0.031250011158234205
0.13902321723558853,0.030566946867416234,0.0006994103952870648,1104,0.029196102492653586,0.03193779124217888,0.02992523552490775
0.148878069637245,0.028820259987323894,0.0006856462618102265,1104,0.02747639331417585,0.030164126660471937,0.028734325617500514
0.15813866532636836,0.027293496460832456,0.0006304535467136157,1104,0.026057807509273768,0.028529185412391144,0.027706228239812836
0.16694007187743115,0.027707809970978776,0.0006473053623380293,1104,0.02643909146079624,0.028976528481161314,0.026801901516287988
0.17589236299476302,0.026303840739409525,0.0006202618706273048,1104,0.025088127472980008,0.027519554005839043,0.02594620965670326
0.18569269282876807,0.027050934067964594,0.0006064838792006567,1104,0.025862225664731307,0.02823964247119788,0.02507343525203383
0.19825782334945838,0.025269317623381755,0.0005592849168960518,1104,0.024173119186265492,0.02636551606049802,0.024034559864688443
0.23612772535617968,0.018623219653048594,0.0004681268989534978,1104,0.01770569093109974,0.01954074837499745,0.02121656910509085
