cuds_bin_midpoint,mean_outcome,se_outcome,n_obs,ci_lower,ci_upper,poly_predicted
0.028627823530577873,0.007258503303144448,0.00047929631205712275,1098,0.006319082531512488,0.00819792407477641,0.007086074264621994
0.038358032015126525,0.012252924039438381,0.0005976257849102499,1097,0.011081577501014291,0.013424270577862472,0.011436521447128313
0.04590387842692294,0.014206126881129214,0.0006372847753601643,1098,0.012957048721423291,0.015455205040835137,0.014611473795336954
0.053302829128463146,0.015959555481036926,0.0006872072468425004,1097,0.014612629277225625,0.017306481684848225,0.01756058240913095
0.06038379444457906,0.02000338104584832,0.0007922620560314383,1097,0.0184505474160267,0.021556214675669937,0.02023467738682684
0.06717624876458576,0.024348621852818043,0.0009333009738916965,1098,0.022519351943990316,0.02617789176164577,0.022666949602317348
0.07407650041856603,0.026479941614739516,0.0008544154486228869,1097,0.02480528733543866,0.028154595894040374,0.0250079362211914
0.08131942099577967,0.02687005579643243,0.0008471051103505139,1097,0.025209729780145424,0.028530381812719437,0.02732799637326904
0.08968283924285451,0.02873050710234325,0.0008874693773752435,1098,0.026991067122687774,0.030469947081998728,0.029837172449345924
0.09979202863216327,0.03060338840859822,0.0008464157165428933,1097,0.02894441360417415,0.03226236321302229,0.03263532045960835
0.11155894584538881,0.03477966489734886,0.0009713830053219788,1097,0.03287575420691778,0.03668357558777993,0.03558188481001828
0.12278673936493698,0.03756828525366694,0.0009747995842737362,1098,0.03565767806849042,0.03947889243884346,0.038096602991719596
0.13482081306868807,0.04139871902868641,0.0009733277453260321,1097,0.03949099664784739,0.04330644140952543,0.04048669625025771
0.1468644950229108,0.04491919067823311,0.0009914757788850755,1097,0.04297589815161836,0.046862483204847864,0.04257991216707182
0.1583267794874144,0.045544288778311494,0.0010126422873113989,1098,0.043559509895181155,0.04752906766144183,0.04431072741807793
0.1705262915965818,0.045727347934690146,0.0009057565035808304,1097,0.04395206518767172,0.047502630681708576,0.04589035629729699
0.1837044924567872,0.046346934285463666,0.0008617648823334121,1097,0.04465787511609018,0.04803599345483715,0.04731349347258145
0.19925874883919453,0.04888324094894849,0.0008465037904960113,1098,0.04722409351957631,0.050542388378320674,0.04864581227731576
0.2190908684438849,0.04871633330019794,0.0008084561585546532,1097,0.047131759229430824,0.05030090737096506,0.049856874470777496
0.25889606654824304,0.051028975917670416,0.0006869731962172924,1098,0.04968250845308452,0.05237544338225631,0.05094099597906889
