cuds_bin_midpoint,mean_outcome,se_outcome,n_obs,ci_lower,ci_upper,poly_predicted
0.03574841446562594,4510.2823504733715,106.9786083780879,1105,4300.604278052319,4719.960422894424,3748.8906463687053
0.04736677358233195,3960.461158522385,96.34076468537903,1104,3771.6332597390424,4149.289057305728,3877.993239925076
0.05564661240636429,3991.561371388031,101.13957685845594,1104,3793.3278007454574,4189.794942030605,3985.3384607206217
0.06350913525055876,3619.045090033209,105.18755534535853,1104,3412.877481556306,3825.2126985101117,4097.60135185801
0.07129856447743563,3698.019507425527,130.52926321883712,1104,3442.182151516606,3953.856863334448,4217.5084026955865
0.07844542180559402,3810.960736836974,128.96117122084814,1104,3558.1968412441115,4063.724632429836,4334.10189371493
0.08548649377450143,4438.912122285777,150.36822009545114,1104,4144.190410898693,4733.63383367286,4454.1974057858415
0.0927577577970171,4219.6109143078675,133.41266412052272,1104,3958.1220926316428,4481.099735984092,4582.721218888072
0.10047789939381507,4672.422700298905,138.48330896065153,1104,4400.995414736028,4943.8499858617815,4723.108092231176
0.10919949683590251,5032.746570170582,136.36396801187013,1104,4765.473192867317,5300.019947473847,4885.1365109928565
0.11890496939265036,5542.098462516733,144.62288904143497,1104,5258.637599995521,5825.559325037945,5067.745067589043
0.12900421926974898,5697.674627437831,138.2401953604962,1104,5426.723844531259,5968.6254103444035,5257.925078670237
0.13902321723558853,5681.573003236175,138.43922311036013,1104,5410.23212593987,5952.913880532481,5444.2165911967095
0.148878069637245,5448.415562781035,114.92451499816367,1104,5223.163513384634,5673.667612177436,5622.664666087376
0.15813866532636836,5418.850154411293,120.3647930220192,1104,5182.9351600881355,5654.765148734451,5783.841491758504
0.16694007187743115,5917.579945950499,161.88913620158976,1104,5600.2772389953825,6234.882652905615,5929.303541482294
0.17589236299476302,6425.780078033264,155.05634467927743,1104,6121.86964246188,6729.690513604647,6067.723280457056
0.18569269282876807,6702.903006066454,184.07228786161352,1104,6342.121321857691,7063.684690275216,6206.088075790336
0.19825782334945838,6285.581085078171,142.61873606786293,1104,6006.04836238516,6565.113807771182,6359.632764894625
0.23612772535617968,5934.498382512393,141.75380435399393,1104,5656.660925978565,6212.335839046221,6611.641449052138
