model,outcome,fold,rmse,r2,mae
xgboost,lcogs1_distance_km,0,135.86487796631963,-2.4547739797490773,97.68697355249097
xgboost,lcogs1_distance_km,1,64.41206210994864,-0.4784708969567184,49.605791979061415
xgboost,lcogs1_distance_km,2,133.9992709273625,-6.210722669447856,108.64805206411525
xgboost,lcogs1_distance_km,3,146.57203203189025,-0.6177044154816469,109.4254353312027
xgboost,lcogs1_distance_km,4,243.41990638033533,-0.48639916879062706,165.16368116249635
xgboost,sao_per_100k,0,28.417956754577293,0.11277872350031026,15.237361320397095
xgboost,sao_per_100k,1,55.96791863096782,-0.09595901440653676,37.12133367305299
xgboost,sao_per_100k,2,59.35940727550951,0.055254375679198886,37.52911204976001
xgboost,sao_per_100k,3,41.66716441452276,-0.21893780676366026,27.501508743466726
xgboost,sao_per_100k,4,25.118100192753808,-0.039791994760708826,16.18431098582777
xgboost,surgical_volume_per_100k,0,4716.916186380522,-0.17765108552277953,3511.064227528452
xgboost,surgical_volume_per_100k,1,4984.0789347642785,-0.39559001687317696,3595.221528158642
xgboost,surgical_volume_per_100k,2,6928.223833886586,-0.3508432405373507,4288.462727730037
xgboost,surgical_volume_per_100k,3,4182.9083938162685,-0.8324510208267504,3192.6633773848157
xgboost,surgical_volume_per_100k,4,3641.0859646940007,-0.3842675447730419,2717.5588824594156
xgboost,pomr,0,0.03061151649388979,-0.023142922812657174,0.021605014554078827
xgboost,pomr,1,0.033668894424162495,-0.273216830315939,0.0253286093369764
xgboost,pomr,2,0.03250348862870537,-0.18726870070018564,0.023584466249509467
xgboost,pomr,3,0.027563201955811138,-0.4122762278695855,0.021514968360904167
xgboost,pomr,4,0.017691642537773253,-0.4112465989949057,0.013082632105502662
xgboost,financial_risk_ratio,0,0.022873111420411936,0.10310244458281281,0.013150848570034736
xgboost,financial_risk_ratio,1,0.02183017362610711,-0.10756230958177326,0.015673920685289132
xgboost,financial_risk_ratio,2,0.01587536055968752,0.03186306947053619,0.010388203577875928
xgboost,financial_risk_ratio,3,0.015633014002714336,0.07203766472041406,0.009540338108559513
xgboost,financial_risk_ratio,4,0.013297125739365489,0.4064954691889474,0.009753222676960651
xgboost,catastrophic_expenditure,0,0.14152198354527137,-0.22806730526450902,0.035194012061439406
xgboost,catastrophic_expenditure,1,0.12898238209634874,-0.5200822957808102,0.039525295552254834
xgboost,catastrophic_expenditure,2,0.08935342946401492,-0.3349176277929262,0.01913021606784501
xgboost,catastrophic_expenditure,3,0.10196555288946664,-0.5346647666539588,0.024855152104431975
xgboost,catastrophic_expenditure,4,0.07481133228131394,-0.3121476081290411,0.019391683718080206
random_forest,lcogs1_distance_km,0,134.537038972555,-2.38757534989253,99.23540907015268
random_forest,lcogs1_distance_km,1,56.7000700451829,-0.1456331313314816,45.07228603270591
random_forest,lcogs1_distance_km,2,128.84395720874255,-5.666563674058992,105.92536146447148
random_forest,lcogs1_distance_km,3,144.3107037695047,-0.5681732542328133,107.75483631065016
random_forest,lcogs1_distance_km,4,243.27770693404062,-0.48466304617875067,162.12553810825509
random_forest,sao_per_100k,0,27.43944050328987,0.1728262314431207,14.390169639766004
random_forest,sao_per_100k,1,54.13296681462282,-0.025273328487763314,34.97035337983286
random_forest,sao_per_100k,2,58.32261436418893,0.08796869717703804,36.721151845309144
random_forest,sao_per_100k,3,38.154966302145276,-0.022105683970927048,25.08855592926501
random_forest,sao_per_100k,4,25.83014147585971,-0.09957906428858587,15.221238568035938
random_forest,surgical_volume_per_100k,0,4493.479031584807,-0.06872447835139006,3377.7446646323338
random_forest,surgical_volume_per_100k,1,4863.40624047992,-0.32882908721969684,3439.23703647281
random_forest,surgical_volume_per_100k,2,6253.112917384918,-0.1004078397497834,3640.4172087553443
random_forest,surgical_volume_per_100k,3,3810.3518770630435,-0.5205679605338933,2859.09504245757
random_forest,surgical_volume_per_100k,4,3332.849883075044,-0.1598175525516754,2502.241399798834
random_forest,pomr,0,0.02939004784653645,0.05687946599663951,0.02072943777424742
random_forest,pomr,1,0.03102498323433196,-0.0811047366672466,0.023082897044373097
random_forest,pomr,2,0.03064877645871473,-0.05563881044476715,0.02201558308021402
random_forest,pomr,3,0.02723465844995872,-0.37880922635449976,0.021733675071089024
random_forest,pomr,4,0.016637865458458086,-0.24813572155844055,0.012615767074279973
random_forest,financial_risk_ratio,0,0.021934878973460657,0.17517306553301837,0.012221445298424395
random_forest,financial_risk_ratio,1,0.020798372282346676,-0.005338891994737693,0.015370250792884087
random_forest,financial_risk_ratio,2,0.01447214912392372,0.19544516437087434,0.009456174722454004
random_forest,financial_risk_ratio,3,0.014541334028568992,0.19711486579499393,0.008753820279757804
random_forest,financial_risk_ratio,4,0.012061952130576934,0.5116359475784185,0.008796507233157846
random_forest,catastrophic_expenditure,0,0.13135119909008053,-0.05789469428243921,0.02670494704351359
random_forest,catastrophic_expenditure,1,0.1146270083520558,-0.2005499386860563,0.034335027993224826
random_forest,catastrophic_expenditure,2,0.07704304568040451,0.0075722426313793445,0.009249460993710198
random_forest,catastrophic_expenditure,3,0.084462705899445,-0.05301982322789556,0.01307707538279768
random_forest,catastrophic_expenditure,4,0.06846263150950735,-0.09889220195498405,0.010795141082855165
