outcome,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs,r2_within
lcogs1_distance_km,2.22114286270035e-30,4.7769035393612e-30,0.4649754478813228,0.641952069079057,-7.141755196896587e-30,1.1584040922297285e-29,38990,0.0
sao_per_100k,0.4016679069813276,0.7370992343943137,0.5449305714058766,0.5858049062872324,-1.0430723802307116,1.8464081941933668,38990,-0.0006692286931193614
surgical_volume_per_100k,918.5118455918216,635.3540574840024,1.4456692843500867,0.14828672458669545,-326.839748465507,2163.86343964915,22081,-0.0025119123197008264
pomr,0.018357241748974636,0.006406473387289115,2.8654207454286267,0.004169221912303733,0.005799967542642209,0.030914515955307063,21948,0.009577512946674638
financial_risk_ratio,-0.003024429426360384,0.004731692832375792,-0.6391854952346542,0.5227100881726487,-0.012298976652396158,0.006250117799675389,22081,-0.00017616899222372417
catastrophic_expenditure,0.020877051264581083,0.02806372020134317,0.7439160280532542,0.4569366155847656,-0.034130386362118195,0.07588448889128037,22081,0.0004935358696945835
