outcome,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs,r2_within,r2_between,r2_overall
lcogs1_distance_km,1.3592343415579554e-29,1.4158586192792267e-29,0.9600071102084351,0.33705858311944104,-1.415898086777791e-29,4.1343667698937015e-29,38990,0.0,0.0,0.0
sao_per_100k,8.92955526246607,2.394292952523898,3.7295165794365936,0.00019216440433988957,4.236657309937926,13.622453214994216,38990,-0.0017070352969073,0.024974035607406853,0.024957284181879924
surgical_volume_per_100k,4119.568335299229,1538.9073116194375,2.676943766654852,0.007436185478762347,1103.1703898434398,7135.9662807550185,22081,-0.001586417545327956,0.11360138663592045,0.1086556970145135
pomr,0.012478889445974565,0.017482611773151413,0.7137886265448495,0.47536684938295215,-0.02178862976574781,0.046746408657696935,21948,0.00026694810372995814,0.061814799298099854,0.05513830637060191
financial_risk_ratio,-0.10874973006658555,0.011234786242352952,-9.679732904629754,0.0,-0.1307709303579835,-0.08672852977518758,22081,0.01125411194868109,-0.5972477505634453,-0.57775245859837
catastrophic_expenditure,-0.028034844560502037,0.07253686565998953,-0.3864909836594404,0.6991374718415728,-0.17021368203470008,0.11414399291369601,22081,5.897542721911009e-05,-0.01343926577202148,-0.007653821115385817
